Project,Client,Title,Duration
SOS2021-21,,#10 Implementar servidor NodeJS,02:56:55
SOS2021-21,,"#11 Crear ruta ""/info/YYYYYY""",03:35:00
SOS2021-21,,#12 Haber realizado una API REST tal como se explica y ejemplifica en el L06,03:11:57
SOS2021-21,,#13 Realizar API REST,04:30:00
SOS2021-21,,#15 Entrega D01,02:36:10
SOS2021-21,,#17 Todas las peticiones de la colección de llamadas de POSTMAN sobre la api deben estar desplegadas en heroku,03:17:48
SOS2021-21,,#3 Tener correctamente instalada y configurada la extensión de Chrome de Toggl Button,00:02:30
SOS2021-21,,#5 Tener una cuenta en github,00:03:50
SOS2021-21,,#6 Añadir archivo index.html a la carpeta public,03:00:00
SOS2021-21,,#7 Código implementado usando NodeJS y modulo express,00:31:06
SOS2021-21,,#8 Crear Milestone F02,03:07:00
SOS2021-21,,F05,03:54:23
SOS2021-21,,,00:00:54
,,#2 Prueba grupo 21,00:02:40
,,F02,03:02:34
,,F03,03:27:30
,,F04,03:08:41
,,F05,03:01:41
,,F06,04:02:00
